"LIC J1";"LIC J2";"PTS INS EQ";"PTS TEC EQ"
"2776286";"2063061";"275";"275"
"1998566";"2412635";"3140";"2250"
"1798623";"1795615";"1190";"1090"
"2603329";"2503391";"1340";"1075"
"1676504";"2411986";"260";"260"
"2146516";"2272469";"785";"785"
"2098910";"1100736";"210";"210"
"2097324";"2306367";"1840";"1410"
"2654666";"2266889";"0";"0"
"2604858";"2162424";"385";"385"
"2364125";"2186494";"120";"120"
"2421013";"2636288";"105";"105"
"1896100";"2244690";"340";"340"
"2245690";"2795425";"840";"695"
"2787578";"2782328";"230";"230"
"2717959";"2381832";"335";"335"
